date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,recuperados_diarios,crescimento_casos_pct,crescimento_mortes_pct,crescimento_recuperacoes_pct,casos_7d_ma,mortes_7d_ma,recuperados_7d_ma,casos_14d_change_avg,mortes_14d_change_avg,recuperados_14d_change_avg,tendencia_casos_14d,tendencia_mortes_14d,tendencia_recuperados_14d,letalidade_pct,recuperacao_pct,casos_por_100k,mortes_por_1M
2020-01-22,548,17,28,548.0,17.0,28.0,não informado,não informado,não informado,548.0,17.0,28.0,,,,indefinido,indefinido,indefinido,3.102189781021898,5.109489051094891,0.03783298724434601,0.011736510641494198
2020-01-23,643,18,30,95.0,1.0,2.0,17.335766423357665,5.88235294117647,7.142857142857142,321.5,9.0,15.0,,,,indefinido,indefinido,indefinido,2.7993779160186625,4.665629860031104,0.04439162554400453,0.012426893620405622
2020-01-24,920,26,36,277.0,8.0,6.0,43.07931570762053,44.44444444444444,20.0,306.6666666666667,8.666666666666666,12.0,,,,indefinido,indefinido,indefinido,2.8260869565217392,3.91304347826087,0.06351523405985096,0.01794995745169701
2020-01-25,1406,42,39,486.0,16.0,3.0,52.826086956521735,61.53846153846154,8.333333333333332,351.5,10.5,9.75,,,,indefinido,indefinido,indefinido,2.987197724039829,2.7738264580369845,0.09706784683494614,0.028996085114279785
2020-01-26,2075,56,49,669.0,14.0,10.0,47.58179231863443,33.33333333333333,25.64102564102564,415.0,11.2,9.8,,,,indefinido,indefinido,indefinido,2.6987951807228914,2.36144578313253,0.14325446812412038,0.03866144681903971
2020-01-27,2877,82,58,802.0,26.0,9.0,38.65060240963856,46.42857142857143,18.367346938775512,479.5,13.666666666666666,9.666666666666666,,,,indefinido,indefinido,indefinido,2.8501911713590546,2.0159888773027457,0.19862318303281654,0.05661140427073672
2020-01-28,5509,131,101,2632.0,49.0,43.0,91.48418491484185,59.756097560975604,74.13793103448276,787.0,18.714285714285715,14.428571428571429,,,,indefinido,indefinido,indefinido,2.3779270284988203,1.8333635868578688,0.38033198308230315,0.09044017023739646
2020-01-29,6087,133,120,578.0,2.0,19.0,10.491922308948991,1.5267175572519083,18.81188118811881,791.2857142857143,16.571428571428573,13.142857142857142,,,,indefinido,indefinido,indefinido,2.1849843929686217,1.9714144898965007,0.42023611926338345,0.09182093619521932
2020-01-30,8141,171,135,2054.0,38.0,15.0,33.7440446853951,28.57142857142857,12.5,1071.142857142857,21.857142857142858,15.0,,,,indefinido,indefinido,indefinido,2.10047905662695,1.658272939442329,0.5620407831317898,0.11805548939385341
2020-01-31,9802,213,214,1661.0,42.0,79.0,20.40289890676821,24.561403508771928,58.51851851851851,1268.857142857143,26.714285714285715,25.428571428571427,,,,indefinido,indefinido,indefinido,2.1730259130789635,2.1832279126708833,0.6767133959289773,0.1470515745081332
2020-02-01,11891,259,275,2089.0,46.0,61.0,21.311977147520913,21.5962441314554,28.504672897196258,1497.857142857143,31.0,33.714285714285715,,,,indefinido,indefinido,indefinido,2.178117904297368,2.3126734505087883,0.8209344002235737,0.1788091915380587
2020-02-02,16630,361,463,4739.0,102.0,188.0,39.85367084349508,39.38223938223938,68.36363636363636,2079.285714285714,43.57142857142857,59.142857142857146,,,,indefinido,indefinido,indefinido,2.1707757065544198,2.7841250751653637,1.1481068939296972,0.24922825538702384
2020-02-03,19716,425,614,3086.0,64.0,151.0,18.556825015033073,17.72853185595568,32.6133909287257,2405.5714285714284,49.0,79.42857142857143,,,,indefinido,indefinido,indefinido,2.155609657131264,3.114221951714344,1.3611590812217624,0.29341276603735494
2020-02-04,23707,491,843,3991.0,66.0,229.0,20.24244268614323,15.529411764705884,37.29641693811075,2599.714285714286,51.42857142857143,106.0,,,,indefinido,indefinido,indefinido,2.0711182351204287,3.5559117560214286,1.6366909281053117,0.3389780426455089
2020-02-05,27440,563,1115,3733.0,72.0,272.0,15.746404015691567,14.663951120162933,32.26571767497035,3050.4285714285716,61.42857142857143,142.14285714285714,178.74489795918367,3.173469387755102,8.153061224489795,subindo,subindo,subindo,2.051749271137026,4.063411078717201,1.8944108941329458,0.3886856171271314
2020-02-06,30587,633,1477,3147.0,70.0,362.0,11.468658892128278,12.433392539964476,32.46636771300449,3206.5714285714284,66.0,191.71428571428572,206.07653061224488,4.071428571428571,12.622448979591837,subindo,subindo,subindo,2.0695066531533004,4.828848857357701,2.111674417596371,0.437012425650931
2020-02-07,34110,718,1999,3523.0,85.0,522.0,11.51796514859254,13.428120063191153,35.341909275558564,3472.5714285714284,72.14285714285714,255.0,226.1360544217687,4.534013605442177,17.357142857142858,subindo,subindo,subindo,2.1049545587804164,5.860451480504251,2.3548963410668655,0.495694978858402
