date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,recuperados_diarios,crescimento_casos_pct,crescimento_mortes_pct,crescimento_recuperacoes_pct,casos_7d_ma,mortes_7d_ma,recuperados_7d_ma,casos_14d_change_avg,mortes_14d_change_avg,recuperados_14d_change_avg,tendencia_casos_14d,tendencia_mortes_14d,tendencia_recuperados_14d,letalidade_pct,recuperacao_pct,casos_por_100k,mortes_por_1M
2020-01-22,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-01-23,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-01-24,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-01-25,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-01-26,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-01-27,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-01-28,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-01-29,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-01-30,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-01-31,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-02-01,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-02-02,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-02-03,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-02-04,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-02-05,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,0.0,0.0,0.0,estavel,estavel,estavel,,,0.0,0.0
2020-02-06,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,0.0,0.0,0.0,estavel,estavel,estavel,,,0.0,0.0
2020-02-07,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,0.0,0.0,0.0,estavel,estavel,estavel,,,0.0,0.0
2020-02-08,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,0.0,0.0,0.0,estavel,estavel,estavel,,,0.0,0.0
2020-02-09,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,0.0,0.0,0.0,estavel,estavel,estavel,,,0.0,0.0
2020-02-10,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,0.0,0.0,0.0,estavel,estavel,estavel,,,0.0,0.0
2020-02-11,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,0.0,0.0,0.0,estavel,estavel,estavel,,,0.0,0.0
2020-02-12,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,0.0,0.0,0.0,estavel,estavel,estavel,,,0.0,0.0
