date,total_vacinacoes,vac_diarias,crescimento_vac_pct,vac_7d_ma,vac_14d_change_avg,tendencia_vac_14d
2020-12-01,0,0.0,não informado,0.0,,indefinido
2020-12-02,0,0.0,não informado,0.0,,indefinido
2020-12-03,0,0.0,não informado,0.0,,indefinido
2020-12-04,0,0.0,não informado,0.0,,indefinido
2020-12-05,0,0.0,não informado,0.0,,indefinido
2020-12-06,0,0.0,não informado,0.0,,indefinido
2020-12-07,0,0.0,não informado,0.0,,indefinido
2020-12-08,0,0.0,não informado,0.0,,indefinido
2020-12-09,0,0.0,não informado,0.0,,indefinido
2020-12-10,0,0.0,não informado,0.0,,indefinido
2020-12-11,0,0.0,não informado,0.0,,indefinido
2020-12-12,0,0.0,não informado,0.0,,indefinido
2020-12-13,0,0.0,não informado,0.0,,indefinido
2020-12-14,0,0.0,não informado,0.0,,indefinido
2020-12-15,0,0.0,não informado,0.0,0.0,estavel
2020-12-16,0,0.0,não informado,0.0,0.0,estavel
2020-12-17,0,0.0,não informado,0.0,0.0,estavel
2020-12-18,0,0.0,não informado,0.0,0.0,estavel
2020-12-19,0,0.0,não informado,0.0,0.0,estavel
2020-12-20,0,0.0,não informado,0.0,0.0,estavel
2020-12-21,0,0.0,não informado,0.0,0.0,estavel
2020-12-22,0,0.0,não informado,0.0,0.0,estavel
2020-12-23,0,0.0,não informado,0.0,0.0,estavel
2020-12-24,0,0.0,não informado,0.0,0.0,estavel
2020-12-25,0,0.0,não informado,0.0,0.0,estavel
2020-12-26,0,0.0,não informado,0.0,0.0,estavel
2020-12-27,0,0.0,não informado,0.0,0.0,estavel
2020-12-28,0,0.0,não informado,0.0,0.0,estavel
2020-12-29,0,0.0,não informado,0.0,0.0,estavel
2020-12-30,0,0.0,não informado,0.0,0.0,estavel
2020-12-31,0,0.0,não informado,0.0,0.0,estavel
2021-01-01,0,0.0,não informado,0.0,0.0,estavel
2021-01-02,0,0.0,não informado,0.0,0.0,estavel
2021-01-03,0,0.0,não informado,0.0,0.0,estavel
2021-01-04,0,0.0,não informado,0.0,0.0,estavel
2021-01-05,0,0.0,não informado,0.0,0.0,estavel
2021-01-06,0,0.0,não informado,0.0,0.0,estavel
2021-01-07,0,0.0,não informado,0.0,0.0,estavel
2021-01-08,0,0.0,não informado,0.0,0.0,estavel
2021-01-09,0,0.0,não informado,0.0,0.0,estavel
2021-01-10,0,0.0,não informado,0.0,0.0,estavel
2021-01-11,0,0.0,não informado,0.0,0.0,estavel
2021-01-12,0,0.0,não informado,0.0,0.0,estavel
2021-01-13,0,0.0,não informado,0.0,0.0,estavel
2021-01-14,0,0.0,não informado,0.0,0.0,estavel
2021-01-15,0,0.0,não informado,0.0,0.0,estavel
2021-01-16,0,0.0,não informado,0.0,0.0,estavel
2021-01-17,112,112.0,não informado,16.0,1.1428571428571428,subindo
2021-01-18,1109,997.0,890.1785714285713,158.42857142857142,11.316326530612244,subindo
2021-01-19,13527,12418.0,1119.7475202885482,1932.4285714285713,138.03061224489795,subindo
2021-01-20,105824,92297.0,682.3168477859097,15117.714285714286,1079.8367346938776,subindo
2021-01-21,193699,87875.0,83.03881917145449,27671.285714285714,1976.5204081632653,subindo
2021-01-22,462269,268570.0,138.65327131270683,66038.42857142857,4717.030612244897,subindo
2021-01-23,573268,110999.0,24.011776692791425,81895.42857142857,5849.673469387754,subindo
2021-01-24,613954,40686.0,7.0972041000020925,87691.71428571429,6263.693877551021,subindo
2021-01-25,801759,187805.0,30.589425266388037,114378.57142857143,8169.897959183674,subindo
2021-01-26,1045746,243987.0,30.431463818928133,147459.85714285713,10532.846938775509,subindo
2021-01-27,1327546,281800.0,26.947270178418087,174531.7142857143,12466.551020408164,subindo
2021-01-28,1563098,235552.0,17.743415294083974,195628.42857142858,13973.45918367347,subindo
2021-01-29,1923813,360715.0,23.076927998116563,208792.0,14913.714285714286,subindo
2021-01-30,2046523,122710.0,6.378478573541191,210465.0,15033.214285714286,subindo
2021-01-31,2084119,37596.0,1.8370670644796077,210023.57142857142,15000.54081632653,subindo
2021-02-01,2292551,208432.0,10.000964436291786,212970.2857142857,15200.846938775509,subindo
2021-02-02,2521704,229153.0,9.995546445858782,210851.14285714287,14922.76530612245,subindo
2021-02-03,2802134,280430.0,11.120654922227192,210655.42857142858,13966.979591836734,subindo
2021-02-04,3074906,272772.0,9.734438110383014,215972.57142857142,13450.091836734693,subindo
2021-02-05,3401383,326477.0,10.617462777723937,211081.42857142858,10360.214285714286,subindo
2021-02-06,3553681,152298.0,4.477531639336117,215308.2857142857,9529.489795918369,subindo
2021-02-07,3605538,51857.0,1.4592474676258225,217345.57142857142,9260.989795918367,subindo
2021-02-08,3820207,214669.0,5.953868743028086,218236.57142857142,7418.428571428571,subindo
2021-02-09,4120332,300125.0,7.8562496744286365,228375.42857142858,5779.683673469389,subindo
2021-02-10,4406835,286503.0,6.953395988478599,229243.0,3907.9489795918366,subindo
2021-02-11,4696136,289301.0,6.564824868641553,231604.2857142857,2569.704081632652,subindo
2021-02-12,5125206,429070.0,9.136660437431965,246260.42857142858,2676.316326530613,subindo
2021-02-13,5236943,111737.0,2.180146515086418,240466.0,2142.9285714285716,subindo
2021-02-14,5293979,57036.0,1.089108665112452,241205.85714285713,2227.3061224489793,subindo
2021-02-15,5609937,315958.0,5.968251857440311,255675.7142857143,3050.3877551020414,subindo
2021-02-16,5883539,273602.0,4.877095767742133,251886.7142857143,2931.1122448979586,subindo
2021-02-17,6206680,323141.0,5.4922895896500386,257120.7142857143,3318.9489795918366,subindo
2021-02-18,6535156,328476.0,5.292297975729376,262717.14285714284,3338.897959183673,subindo
2021-02-19,6813168,278012.0,4.254098907508864,241137.42857142858,2146.8571428571427,subindo
2021-02-20,6950802,137634.0,2.020117513614812,244837.0,2109.1938775510207,subindo
2021-02-21,7028356,77554.0,1.115756138644145,247768.14285714287,2173.040816326532,subindo
2021-02-22,7297061,268705.0,3.8231557991655514,241017.7142857143,1627.2244897959192,subindo
2021-02-23,7551676,254615.0,3.489281506623009,238305.2857142857,709.2755102040808,subindo
2021-02-24,7799000,247324.0,3.275087543480414,227474.2857142857,-126.33673469387784,descendo
2021-02-25,8101787,302787.0,3.8823823567123985,223804.42857142858,-557.1326530612236,descendo
2021-02-26,8322042,220255.0,2.718597761209965,215553.42857142858,-2193.3571428571427,descendo
2021-02-27,8433568,111526.0,1.3401278195904323,211823.7142857143,-2045.877551020408,descendo
2021-02-28,8465403,31835.0,0.37747961479648945,205292.42857142858,-2565.2448979591823,descendo
2021-03-01,8841027,375624.0,4.437166192796728,220566.57142857142,-2507.795918367348,descendo
2021-03-02,9277322,436295.0,4.934890482745953,246520.85714285713,-383.2755102040828,descendo
2021-03-03,9739676,462354.0,4.983701115472763,277239.4285714286,1437.0510204081636,subindo
2021-03-04,10169160,429484.0,4.409633338932425,295339.0,2330.1326530612255,subindo
2021-03-05,10576542,407382.0,4.0060535973472735,322071.4285714286,5781.0,subindo
2021-03-06,10830688,254146.0,2.4029214841675093,342445.71428571426,6972.051020408161,subindo
2021-03-07,10948409,117721.0,1.0869207939514092,354715.14285714284,7639.071428571427,subindo
2021-03-08,11357494,409085.0,3.736478971510838,359495.28571428574,8462.68367346939,subindo
2021-03-09,11756131,398637.0,3.509902800741079,354115.5714285714,8272.163265306122,subindo
2021-03-10,12181103,424972.0,3.614896771735531,348775.28571428574,8664.357142857145,subindo
2021-03-11,12613179,432076.0,3.547100783894529,349145.5714285714,8952.938775510203,subindo
2021-03-12,13017720,404541.0,3.2072881864278626,348739.71428571426,9513.306122448977,subindo
2021-03-13,13223729,206009.0,1.58252750865743,341863.0,9288.520408163266,subindo
2021-03-14,13286664,62935.0,0.47592475617127367,334036.4285714286,9196.0,subindo
2021-03-15,13763573,476909.0,3.589381051556659,343725.5714285714,8797.07142857143,subindo
2021-03-16,14198794,435221.0,3.1621222192812866,348951.85714285716,7316.500000000002,subindo
2021-03-17,14648691,449897.0,3.168557836672607,352512.5714285714,5376.653061224489,subindo
2021-03-18,15087602,438911.0,2.996247241477071,353489.0,4153.571428571428,subindo
2021-03-19,15623349,535747.0,3.5509088853218693,372232.71428571426,3582.9489795918344,subindo
2021-03-20,15883688,260339.0,1.6663456727491655,379994.14285714284,2682.0306122448987,subindo
2021-03-21,15980363,96675.0,0.6086432823409778,384814.14285714284,2149.9285714285716,subindo
2021-03-22,16567102,586739.0,3.671624981234782,400504.14285714284,2929.2040816326503,subindo
2021-03-23,17157631,590529.0,3.5644677023175206,422691.0,4898.2448979591845,subindo
2021-03-24,17886781,729150.0,4.249712562299539,462584.28571428574,8129.214285714285,subindo
2021-03-25,18655345,768564.0,4.29682680187117,509677.5714285714,11466.57142857143,subindo
2021-03-26,19577786,922441.0,4.944647231128666,564919.5714285715,15441.418367346943,subindo
2021-03-27,19962072,384286.0,1.9628675070817507,582626.2857142857,17197.377551020407,subindo
2021-03-28,20216938,254866.0,1.276751231034534,605225.0,19370.61224489796,subindo
2021-03-29,21160763,943825.0,4.66848639492291,656237.2857142857,22322.26530612245,subindo
2021-03-30,21950245,789482.0,3.7308768119561666,684659.1428571428,23979.091836734693,subindo
2021-03-31,22839287,889042.0,4.050260031266166,707500.8571428572,25356.306122448983,subindo
2021-04-01,23880805,1041518.0,4.560203652592132,746494.2857142857,28071.806122448976,subindo
2021-04-02,24181208,300403.0,1.2579266067454595,657631.7142857143,20385.642857142862,subindo
2021-04-03,24575470,394262.0,1.6304479081442085,659056.8571428572,19933.051020408166,subindo
2021-04-04,24910668,335198.0,1.3639535683346036,670532.8571428572,20408.479591836738,subindo
2021-04-05,25658532,747864.0,3.0021836427670268,642538.4285714285,17288.16326530612,subindo
2021-04-06,26736003,1077471.0,4.199269856903739,683679.7142857143,18642.051020408166,subindo
2021-04-07,27644079,908076.0,3.3964538379203506,686398.8571428572,15986.755102040815,subindo
2021-04-08,28653848,1009769.0,3.6527496539132303,681863.2857142857,12298.979591836733,subindo
2021-04-09,29544578,890730.0,3.108587719178241,766195.7142857143,14376.867346938774,subindo
2021-04-10,30084664,540086.0,1.8280376182729703,787027.7142857143,14600.102040816331,subindo
2021-04-11,30356896,272232.0,0.9048862902374446,778032.5714285715,12343.397959183678,subindo
2021-04-12,31316420,959524.0,3.160810644144909,808269.7142857143,10859.459183673474,subindo
2021-04-13,32217205,900785.0,2.876398387810612,783028.8571428572,7026.408163265309,subindo
2021-04-14,33148388,931183.0,2.8903283199147785,786329.8571428572,5630.642857142857,subindo
2021-04-15,34050325,901937.0,2.720907574751448,770925.2857142857,1745.0714285714287,subindo
2021-04-16,34993448,943123.0,2.769791477761226,778410.0,8627.020408163264,subindo
2021-04-17,35603882,610434.0,1.7444236989735906,788459.7142857143,9243.061224489797,subindo
2021-04-18,35817144,213262.0,0.5989852454853097,780035.4285714285,7821.612244897954,subindo
2021-04-19,36910479,1093335.0,3.052546568202088,799151.2857142857,11186.632653061226,subindo
2021-04-20,37909705,999226.0,2.7071607496613628,813214.2857142857,9252.469387755098,subindo
2021-04-21,38467754,558049.0,1.4720478568746447,759909.4285714285,5250.755102040812,subindo
2021-04-22,39291064,823310.0,2.1402601254026945,748677.0,4772.408163265309,subindo
2021-04-23,41073104,1782040.0,4.535484200682374,868522.2857142857,7309.040816326526,subindo
2021-04-24,41494939,421835.0,1.0270346258709837,841579.5714285715,3896.561224489797,subindo
2021-04-25,41626753,131814.0,0.3176628359424748,829944.1428571428,3707.969387755097,subindo
2021-04-26,42787199,1160446.0,2.7877408550217693,839531.4285714285,2232.9795918367286,subindo
2021-04-27,44287510,1500311.0,3.506448272063801,911115.0,9149.010204081631,subindo
2021-04-28,45379804,1092294.0,2.466370315242379,987435.7142857143,14364.704081632653,subindo
2021-04-29,46426188,1046384.0,2.305836314321675,1019303.4285714285,17741.295918367345,subindo
2021-04-30,47399150,972962.0,2.0957180460303997,903720.8571428572,8950.775510204083,subindo
2021-05-01,47663526,264376.0,0.5577652763815385,881226.7142857143,6626.214285714285,subindo
2021-05-02,47755613,92087.0,0.19320224022033117,875551.4285714285,6822.571428571428,subindo
2021-05-03,48643324,887711.0,1.8588621195167152,836589.2857142857,2674.1428571428573,subindo
2021-05-04,49626137,982813.0,2.0204478624857134,762661.0,-3610.9489795918344,descendo
2021-05-05,50576224,950087.0,1.9144891330147258,742345.7142857143,-1254.5510204081572,descendo
2021-05-06,51624587,1048363.0,2.0728376242560143,742628.4285714285,-432.0408163265342,descendo
2021-05-07,52647815,1023228.0,1.9820555658876262,749809.2857142857,-8479.5,descendo
2021-05-08,52972460,324645.0,0.6166352772664924,758419.1428571428,-5940.030612244903,descendo
2021-05-09,53064124,91664.0,0.17304085934464816,758358.7142857143,-5113.24489795918,descendo
2021-05-10,54008862,944738.0,1.7803704815705617,766505.4285714285,-5216.142857142857,descendo
2021-05-11,54912939,904077.0,1.6739419541926286,755257.4285714285,-11132.683673469392,descendo
2021-05-12,55907165,994226.0,1.81054960471156,761563.0,-16133.765306122452,descendo
